date,ticker,volume_yesterday,volume_ma20,passed_all_filters
2025-08-18,NVDA,156602161,154188425.95,True
2025-08-18,MSFT,25213272,20939774.3,True
2025-08-18,AAPL,56038657,63905723.35,False
2025-08-18,AMZN,39649244,48085511.45,False
2025-08-18,GOOGL,34931422,37845275.3,False
2025-08-18,META,13375361,12961010.05,True
2025-08-18,AVGO,22806938,17401704.55,True
2025-08-18,TSM,8155486,10419154.0,False
2025-08-18,TSLA,74319792,89273437.5,False
2025-08-18,ORCL,11553988,9914901.4,True
2025-08-18,ADBE,3718652,3647346.4,True
2025-08-18,CSCO,40877322,21893203.4,True
2025-08-18,INTU,1751759,1630439.9,True
2025-08-18,QCOM,7583742,8752889.95,False
