date,ticker,volume_yesterday,volume_ma20,articles_count,sources_count,raw_sentiment,weighted_sentiment,news_window_start,news_window_end,passed_volume,passed_news,passed_all_filters
2025-08-18,NVDA,156602161,154188425.95,19,2,0.46893157894736837,0.4689315789473685,2025-08-17 09:30:00 ET,2025-08-18 09:30:00 ET,True,True,True
2025-08-18,MSFT,25213272,20939774.3,25,3,0.45653200000000005,0.45653199999999994,2025-08-17 09:30:00 ET,2025-08-18 09:30:00 ET,True,True,True
2025-08-18,AAPL,56038657,63905723.35,22,2,0.34081818181818185,0.34081818181818185,2025-08-17 09:30:00 ET,2025-08-18 09:30:00 ET,False,True,False
2025-08-18,AMZN,39649244,48085511.45,17,2,0.38531176470588235,0.38531176470588235,2025-08-17 09:30:00 ET,2025-08-18 09:30:00 ET,False,True,False
2025-08-18,GOOGL,34931422,37845275.3,13,4,0.2053230769230769,0.2053230769230769,2025-08-17 09:30:00 ET,2025-08-18 09:30:00 ET,False,False,False
2025-08-18,META,13375361,12961010.05,18,3,0.4003111111111111,0.40031111111111106,2025-08-17 09:30:00 ET,2025-08-18 09:30:00 ET,True,True,True
2025-08-18,AVGO,22806938,17401704.55,8,2,0.3251625,0.3251625,2025-08-17 09:30:00 ET,2025-08-18 09:30:00 ET,True,True,True
2025-08-18,TSM,8155486,10419154.0,3,1,0.2916666666666667,0.2916666666666667,2025-08-17 09:30:00 ET,2025-08-18 09:30:00 ET,False,False,False
2025-08-18,TSLA,74319792,89273437.5,17,4,0.1125,0.11249999999999999,2025-08-17 09:30:00 ET,2025-08-18 09:30:00 ET,False,False,False
2025-08-18,ORCL,11553988,9914901.4,11,2,0.7166272727272727,0.7166272727272728,2025-08-17 09:30:00 ET,2025-08-18 09:30:00 ET,True,True,True
2025-08-18,ADBE,3718652,3647346.4,8,2,0.16544999999999999,0.16545,2025-08-17 09:30:00 ET,2025-08-18 09:30:00 ET,True,False,False
2025-08-18,CSCO,40877322,21893203.4,7,2,0.36645714285714287,0.36645714285714287,2025-08-17 09:30:00 ET,2025-08-18 09:30:00 ET,True,True,True
2025-08-18,INTU,1751759,1630439.9,6,2,0.4516333333333333,0.4516333333333333,2025-08-17 09:30:00 ET,2025-08-18 09:30:00 ET,True,True,True
2025-08-18,QCOM,7583742,8752889.95,3,2,0.8927666666666667,0.8927666666666667,2025-08-17 09:30:00 ET,2025-08-18 09:30:00 ET,False,False,False
