date,ticker,volume_yesterday,volume_ma20,articles_count,sources_count,raw_sentiment,weighted_sentiment,news_window_start,news_window_end,passed_volume,passed_news,passed_all_filters
2024-07-08,NVDA,214176689,301789320.55,0,0,0,0,2024-07-07 09:30:00 ET,2024-07-08 09:30:00 ET,False,False,False
2024-07-08,MSFT,16000290,17549113.9,0,0,0,0,2024-07-07 09:30:00 ET,2024-07-08 09:30:00 ET,False,False,False
2024-07-08,AAPL,60412408,89422747.95,0,0,0,0,2024-07-07 09:30:00 ET,2024-07-08 09:30:00 ET,False,False,False
2024-07-08,AMZN,39858885,44065468.2,0,0,0,0,2024-07-07 09:30:00 ET,2024-07-08 09:30:00 ET,False,False,False
2024-07-08,GOOGL,20967450,22451476.15,0,0,0,0,2024-07-07 09:30:00 ET,2024-07-08 09:30:00 ET,False,False,False
2024-07-08,META,21354093,11937345.0,0,0,0,0,2024-07-07 09:30:00 ET,2024-07-08 09:30:00 ET,True,False,False
2024-07-08,AVGO,4524048,5449693.7,0,0,0,0,2024-07-07 09:30:00 ET,2024-07-08 09:30:00 ET,False,False,False
2024-07-08,TSM,11372882,15202495.9,0,0,0,0,2024-07-07 09:30:00 ET,2024-07-08 09:30:00 ET,False,False,False
2024-07-08,TSLA,154501152,94101366.15,0,0,0,0,2024-07-07 09:30:00 ET,2024-07-08 09:30:00 ET,True,False,False
2024-07-08,ORCL,5365527,11956999.85,0,0,0,0,2024-07-07 09:30:00 ET,2024-07-08 09:30:00 ET,False,False,False
2024-07-08,ADBE,2808635,4610693.65,0,0,0,0,2024-07-07 09:30:00 ET,2024-07-08 09:30:00 ET,False,False,False
2024-07-08,CSCO,14692599,19358067.3,0,0,0,0,2024-07-07 09:30:00 ET,2024-07-08 09:30:00 ET,False,False,False
2024-07-08,INTU,1517071,1572409.95,0,0,0,0,2024-07-07 09:30:00 ET,2024-07-08 09:30:00 ET,False,False,False
2024-07-08,QCOM,6375172,10950525.45,0,0,0,0,2024-07-07 09:30:00 ET,2024-07-08 09:30:00 ET,False,False,False
