date,ticker,volume_yesterday,volume_ma20,articles_count,sources_count,raw_sentiment,weighted_sentiment,news_window_start,news_window_end,passed_volume,passed_news,passed_all_filters
2025-07-28,NVDA,122316392,168244765.6,11,2,0.6616454545454546,0.6616454545454546,2025-07-27 09:30:00 ET,2025-07-28 09:30:00 ET,False,False,False
2025-07-28,MSFT,19125699,17551283.9,15,4,0.34076,0.34076000000000006,2025-07-27 09:30:00 ET,2025-07-28 09:30:00 ET,True,True,True
2025-07-28,AAPL,40268781,51477365.3,16,3,0.4264875,0.4264875,2025-07-27 09:30:00 ET,2025-07-28 09:30:00 ET,False,True,False
2025-07-28,AMZN,28712095,41837391.85,17,4,0.3114882352941177,0.3114882352941177,2025-07-27 09:30:00 ET,2025-07-28 09:30:00 ET,False,True,False
2025-07-28,GOOGL,39785863,43416158.95,17,4,0.41204117647058824,0.41204117647058824,2025-07-27 09:30:00 ET,2025-07-28 09:30:00 ET,False,True,False
2025-07-28,META,8271698,10969821.05,18,4,0.41167777777777775,0.41167777777777786,2025-07-27 09:30:00 ET,2025-07-28 09:30:00 ET,False,True,False
2025-07-28,AVGO,12476248,17700881.75,4,2,0.28245,0.28245,2025-07-27 09:30:00 ET,2025-07-28 09:30:00 ET,False,True,False
2025-07-28,TSM,11593366,12220955.35,4,1,0.58025,0.58025,2025-07-27 09:30:00 ET,2025-07-28 09:30:00 ET,False,True,False
2025-07-28,TSLA,148227027,97697585.25,16,3,0.18864375,0.18864374999999997,2025-07-27 09:30:00 ET,2025-07-28 09:30:00 ET,True,True,True
2025-07-28,ORCL,7149571,13830004.3,3,2,0.7766666666666667,0.7766666666666667,2025-07-27 09:30:00 ET,2025-07-28 09:30:00 ET,False,False,False
2025-07-28,ADBE,2053161,3518763.7,4,1,0.49572499999999997,0.49572499999999997,2025-07-27 09:30:00 ET,2025-07-28 09:30:00 ET,False,True,False
2025-07-28,CSCO,11590038,18172703.75,5,1,0.69116,0.69116,2025-07-27 09:30:00 ET,2025-07-28 09:30:00 ET,False,False,False
2025-07-28,INTU,1406405,1443417.85,1,1,0,0,2025-07-27 09:30:00 ET,2025-07-28 09:30:00 ET,False,False,False
2025-07-28,QCOM,4808242,7460415.1,9,1,0.2482,0.24820000000000006,2025-07-27 09:30:00 ET,2025-07-28 09:30:00 ET,False,True,False
