ticker,date,articles_count,raw_sentiment,weighted_sentiment,meets_min_news,qualifies,source_count
NVDA,2024-11-27,93,0.3484225806451613,0.34842258064516124,True,False,5
MSFT,2024-11-27,54,0.24052962962962965,0.2405296296296296,True,False,4
AAPL,2024-11-27,53,0.08584528301886792,0.0858452830188679,True,False,5
AMZN,2024-11-27,66,0.4875439393939394,0.4875439393939392,True,True,4
GOOGL,2024-11-27,48,0.25172083333333334,0.25172083333333334,True,False,4
META,2024-11-27,43,0.1741186046511628,0.1741186046511628,True,False,5
AVGO,2024-11-27,16,0.327575,0.32757500000000006,True,False,3
TSM,2024-11-27,18,0.36319444444444443,0.3631944444444445,True,True,2
TSLA,2024-11-27,49,0.1697204081632653,0.1697204081632653,True,False,5
ORCL,2024-11-27,7,0.5030571428571429,0.5030571428571429,True,True,3
ADBE,2024-11-27,8,0.401775,0.40177499999999994,True,True,3
CRM,2024-11-27,18,0.4851555555555556,0.4851555555555556,True,True,3
NFLX,2024-11-27,18,0.5340777777777778,0.5340777777777779,True,True,5
AMD,2024-11-27,19,0.5209736842105263,0.5209736842105264,True,True,3
INTC,2024-11-27,52,0.4764403846153847,0.4764403846153847,True,True,4
QCOM,2024-11-27,20,0.32303500000000007,0.323035,True,False,3
TXN,2024-11-27,4,0.69315,0.69315,True,True,3
AMAT,2024-11-27,7,0.47314285714285714,0.47314285714285714,True,True,3
MU,2024-11-27,7,0.16212857142857143,0.16212857142857143,True,False,3
ADI,2024-11-27,26,0.38510769230769226,0.3851076923076924,True,True,5
