date,ticker,volume_yesterday,volume_ma20,volume_zscore,articles_count,sources_count,raw_sentiment,weighted_sentiment,meets_min_news,meets_sentiment_range,score_threshold,passed_all_filters
2025-08-26,NVDA,163012789,161497714.35,0.05374245453459666,48,2,0.6520114583333333,0.6513310397553519,True,True,0.35,False
2025-08-26,MSFT,21638579,23114292.2,-0.19094421988728197,45,2,0.7297144444444444,0.7310564516129037,True,True,0.35,False
2025-08-26,AAPL,30983133,61620952.6,-1.183335130338567,33,2,0.6226560606060606,0.618897577092511,True,True,0.35,False
2025-08-26,AMZN,22633695,47077666.8,-0.9313338676950632,30,2,0.7378250000000001,0.7384326829268293,True,True,0.35,False
2025-08-26,GOOGL,29928878,30960296.8,-0.12608182265683845,52,2,0.7267182692307692,0.7282078212290505,True,True,0.35,False
2025-08-26,META,6861158,13563180.15,-0.8762689685567752,35,2,0.7244428571428572,0.7257236514522822,True,True,0.35,False
2025-08-26,AVGO,15124746,17772072.55,-0.7574078738397416,13,2,0.8147423076923077,0.8168483146067415,True,True,0.35,False
2025-08-26,TSM,7654954,10306100.55,-0.7754469016055429,0,0,0.0,0.0,False,False,0.35,False
2025-08-26,TSLA,86670037,78435236.1,0.6391052262912249,39,2,0.663575641025641,0.6632536764705885,True,True,0.35,True
2025-08-26,ORCL,6308625,10402989.2,-1.4560653721411099,10,1,0.82391,0.8239099999999998,True,True,0.35,False
2025-08-26,ADBE,2259516,3757183.6,-1.5976907425966675,6,1,0.5745583333333334,0.5745583333333332,True,True,0.35,False
2025-08-26,CSCO,11724472,22277306.85,-1.1842906822433585,10,1,0.65042,0.6504199999999999,True,True,0.35,False
2025-08-26,INTU,2201545,2044945.75,0.13764082193640595,4,1,0.6084375,0.6084375,True,True,0.35,False
2025-08-26,QCOM,4653018,8469089.25,-0.8484703299383521,4,1,0.7640750000000001,0.764075,True,True,0.35,False
