date,ticker,volume_yesterday,volume_ma20,articles_count,sources_count,raw_sentiment,weighted_sentiment,news_window_start,news_window_end,passed_volume,passed_news,passed_all_filters
2025-06-11,NVDA,155881897,229737279.05,74,5,0.3647445945945946,0.36474459459459463,2025-06-10 09:30:00 ET,2025-06-11 09:30:00 ET,False,True,False
2025-06-11,MSFT,15375944,19045010.3,38,5,0.3339973684210527,0.3339973684210527,2025-06-10 09:30:00 ET,2025-06-11 09:30:00 ET,False,True,False
2025-06-11,AAPL,54672608,52636285.65,38,5,0.3457289473684211,0.3457289473684211,2025-06-10 09:30:00 ET,2025-06-11 09:30:00 ET,True,True,True
2025-06-11,AMZN,31303317,39206847.05,29,4,0.48965862068965516,0.4896586206896552,2025-06-10 09:30:00 ET,2025-06-11 09:30:00 ET,False,True,False
2025-06-11,GOOGL,61766121,42796348.6,50,5,0.300834,0.300834,2025-06-10 09:30:00 ET,2025-06-11 09:30:00 ET,True,True,True
2025-06-11,META,10850146,12089662.2,37,5,0.26708648648648653,0.26708648648648653,2025-06-10 09:30:00 ET,2025-06-11 09:30:00 ET,False,True,False
2025-06-11,AVGO,25491286,23330616.95,12,3,0.5887333333333333,0.5887333333333333,2025-06-10 09:30:00 ET,2025-06-11 09:30:00 ET,True,True,True
2025-06-11,TSM,14513988,11573581.65,8,2,0.44886250000000005,0.44886250000000005,2025-06-10 09:30:00 ET,2025-06-11 09:30:00 ET,True,True,True
2025-06-11,TSLA,151256520,121294504.45,90,5,0.01925111111111111,0.019251111111111097,2025-06-10 09:30:00 ET,2025-06-11 09:30:00 ET,True,False,False
2025-06-11,ORCL,11056716,8585207.8,10,3,0.19483999999999999,0.19483999999999999,2025-06-10 09:30:00 ET,2025-06-11 09:30:00 ET,True,False,False
2025-06-11,ADBE,2627431,2746134.95,6,2,0.2121333333333333,0.2121333333333333,2025-06-10 09:30:00 ET,2025-06-11 09:30:00 ET,False,True,False
2025-06-11,CSCO,17214901,20397168.15,3,2,0.3236666666666667,0.3236666666666667,2025-06-10 09:30:00 ET,2025-06-11 09:30:00 ET,False,True,False
2025-06-11,INTU,1422939,1965982.35,6,3,0.35535,0.35535,2025-06-10 09:30:00 ET,2025-06-11 09:30:00 ET,False,True,False
2025-06-11,QCOM,9068443,7941228.2,11,4,0.5717818181818182,0.5717818181818182,2025-06-10 09:30:00 ET,2025-06-11 09:30:00 ET,True,True,True
