date,ticker,volume_yesterday,volume_ma20,articles_count,sources_count,raw_sentiment,weighted_sentiment,news_window_start,news_window_end,passed_volume,passed_news,passed_all_filters
2024-11-05,NVDA,187528173,231579333.65,74,4,0.42265675675675674,0.4226567567567569,2024-11-04 09:30:00 ET,2024-11-05 09:30:00 ET,False,True,False
2024-11-05,MSFT,19672286,19759857.3,38,4,0.3979026315789474,0.3979026315789474,2024-11-04 09:30:00 ET,2024-11-05 09:30:00 ET,False,True,False
2024-11-05,AAPL,44944468,41699845.35,47,4,0.3940553191489362,0.3940553191489362,2024-11-04 09:30:00 ET,2024-11-05 09:30:00 ET,True,True,True
2024-11-05,AMZN,38492062,34942538.65,57,5,0.3927578947368421,0.3927578947368419,2024-11-04 09:30:00 ET,2024-11-05 09:30:00 ET,True,True,True
2024-11-05,GOOGL,21492744,25995820.4,37,4,0.4006243243243244,0.4006243243243243,2024-11-04 09:30:00 ET,2024-11-05 09:30:00 ET,False,True,False
2024-11-05,META,12064601,11684863.6,39,4,0.385348717948718,0.3853487179487179,2024-11-04 09:30:00 ET,2024-11-05 09:30:00 ET,True,True,True
2024-11-05,AVGO,13621310,19348563.95,13,3,0.5827923076923077,0.5827923076923077,2024-11-04 09:30:00 ET,2024-11-05 09:30:00 ET,False,True,False
2024-11-05,TSM,10917292,16146668.0,10,2,0.18104000000000003,0.18104000000000003,2024-11-04 09:30:00 ET,2024-11-05 09:30:00 ET,False,True,False
2024-11-05,TSLA,68802354,81018059.95,35,5,0.18320285714285717,0.18320285714285714,2024-11-04 09:30:00 ET,2024-11-05 09:30:00 ET,False,True,False
2024-11-05,ORCL,4804405,5614327.95,10,4,0.42557999999999996,0.42558000000000007,2024-11-04 09:30:00 ET,2024-11-05 09:30:00 ET,False,True,False
2024-11-05,ADBE,1955249,2568411.8,3,2,0.15293333333333334,0.15293333333333334,2024-11-04 09:30:00 ET,2024-11-05 09:30:00 ET,False,True,False
2024-11-05,CSCO,13269890,16082608.45,2,2,0.2553,0.2553,2024-11-04 09:30:00 ET,2024-11-05 09:30:00 ET,False,True,False
2024-11-05,INTU,1152530,1166646.45,4,3,0.13647499999999999,0.13647499999999999,2024-11-04 09:30:00 ET,2024-11-05 09:30:00 ET,False,True,False
2024-11-05,QCOM,4949802,7042766.8,11,3,0.05260909090909091,0.05260909090909091,2024-11-04 09:30:00 ET,2024-11-05 09:30:00 ET,False,True,False
