date,ticker,volume_yesterday,volume_ma20,articles_count,sources_count,raw_sentiment,weighted_sentiment,news_window_start,news_window_end,passed_volume,passed_news,passed_all_filters
2025-07-25,NVDA,128984628,172036233.3,38,2,0.45021315789473687,0.45021315789473676,2025-07-24 09:30:00 ET,2025-07-25 09:30:00 ET,False,True,False
2025-07-25,MSFT,16107000,17673941.6,40,3,0.37683999999999995,0.37683999999999995,2025-07-24 09:30:00 ET,2025-07-25 09:30:00 ET,False,True,False
2025-07-25,AAPL,46022620,52003882.3,33,2,0.39514242424242424,0.39514242424242424,2025-07-24 09:30:00 ET,2025-07-25 09:30:00 ET,False,True,False
2025-07-25,AMZN,42902266,42925827.8,41,4,0.418939024390244,0.41893902439024394,2025-07-24 09:30:00 ET,2025-07-25 09:30:00 ET,False,True,False
2025-07-25,GOOGL,74881687,43016700.3,64,4,0.354125,0.3541250000000001,2025-07-24 09:30:00 ET,2025-07-25 09:30:00 ET,True,True,True
2025-07-25,META,10920836,11254475.8,36,3,0.4535166666666666,0.4535166666666666,2025-07-24 09:30:00 ET,2025-07-25 09:30:00 ET,False,True,False
2025-07-25,AVGO,16413778,18255548.6,14,3,0.3065428571428571,0.3065428571428571,2025-07-24 09:30:00 ET,2025-07-25 09:30:00 ET,False,True,False
2025-07-25,TSM,9081946,12040397.45,7,1,0.1757857142857143,0.1757857142857143,2025-07-24 09:30:00 ET,2025-07-25 09:30:00 ET,False,True,False
2025-07-25,TSLA,156966023,94308279.25,50,3,0.260666,0.260666,2025-07-24 09:30:00 ET,2025-07-25 09:30:00 ET,True,True,True
2025-07-25,ORCL,8237851,13999081.35,12,2,0.5242333333333333,0.5242333333333334,2025-07-24 09:30:00 ET,2025-07-25 09:30:00 ET,False,True,False
2025-07-25,ADBE,2692132,3573088.95,2,1,0.1366,0.1366,2025-07-24 09:30:00 ET,2025-07-25 09:30:00 ET,False,True,False
2025-07-25,CSCO,13534009,18750903.45,5,1,0.8459199999999999,0.8459199999999999,2025-07-24 09:30:00 ET,2025-07-25 09:30:00 ET,False,False,False
2025-07-25,INTU,1379993,1444101.25,3,1,0.33873333333333333,0.33873333333333333,2025-07-24 09:30:00 ET,2025-07-25 09:30:00 ET,False,True,False
2025-07-25,QCOM,5014820,7533912.95,5,1,0.10821999999999994,0.10821999999999994,2025-07-24 09:30:00 ET,2025-07-25 09:30:00 ET,False,True,False
