date,ticker,volume_yesterday,volume_ma20,articles_count,sources_count,raw_sentiment,weighted_sentiment,news_window_start,news_window_end,passed_volume,passed_news,passed_all_filters
2025-02-14,NVDA,197429975,300389364.2,28,3,0.2201607142857143,0.2201607142857143,2025-02-13 09:30:00 ET,2025-02-14 09:30:00 ET,False,False,False
2025-02-14,MSFT,23891731,24212857.75,14,2,0.3348285714285715,0.3348285714285715,2025-02-13 09:30:00 ET,2025-02-14 09:30:00 ET,False,True,False
2025-02-14,AAPL,53614054,60141191.75,17,3,0.27915882352941174,0.27915882352941174,2025-02-13 09:30:00 ET,2025-02-14 09:30:00 ET,False,False,False
2025-02-14,AMZN,31346512,37638998.15,18,3,0.26595555555555556,0.26595555555555556,2025-02-13 09:30:00 ET,2025-02-14 09:30:00 ET,False,False,False
2025-02-14,GOOGL,21402523,30067096.25,18,3,0.3093166666666667,0.3093166666666667,2025-02-13 09:30:00 ET,2025-02-14 09:30:00 ET,False,True,False
2025-02-14,META,12569064,16541988.8,13,3,0.2098,0.2098,2025-02-13 09:30:00 ET,2025-02-14 09:30:00 ET,False,False,False
2025-02-14,AVGO,20962031,30780287.05,4,2,0.323975,0.323975,2025-02-13 09:30:00 ET,2025-02-14 09:30:00 ET,False,True,False
2025-02-14,TSM,15580928,18325419.6,5,1,0.17312,0.17312,2025-02-13 09:30:00 ET,2025-02-14 09:30:00 ET,False,False,False
2025-02-14,TSLA,89441519,76121487.7,17,3,0.1135705882352941,0.1135705882352941,2025-02-13 09:30:00 ET,2025-02-14 09:30:00 ET,True,False,False
2025-02-14,ORCL,6421673,14625827.45,3,2,0.5106333333333334,0.5106333333333334,2025-02-13 09:30:00 ET,2025-02-14 09:30:00 ET,False,True,False
2025-02-14,ADBE,2794395,3484413.35,0,0,0,0,2025-02-13 09:30:00 ET,2025-02-14 09:30:00 ET,False,False,False
2025-02-14,CSCO,43257663,21038958.0,3,2,0.5068,0.5068,2025-02-13 09:30:00 ET,2025-02-14 09:30:00 ET,True,True,True
2025-02-14,INTU,1609983,1825731.55,1,1,0,0,2025-02-13 09:30:00 ET,2025-02-14 09:30:00 ET,False,False,False
2025-02-14,QCOM,6362183,8166234.3,2,2,0.11895,0.11895,2025-02-13 09:30:00 ET,2025-02-14 09:30:00 ET,False,False,False
