ticker,date,articles_count,raw_sentiment,weighted_sentiment,meets_min_news,qualifies,source_count
NVDA,2024-12-19,98,0.2397142857142857,0.23971428571428569,True,False,5
MSFT,2024-12-19,69,0.29146956521739126,0.29146956521739137,True,False,5
AAPL,2024-12-19,70,0.21166428571428578,0.2116642857142857,True,False,5
AMZN,2024-12-19,90,0.21713777777777774,0.21713777777777782,True,False,5
GOOGL,2024-12-19,70,0.36515571428571436,0.36515571428571436,True,True,5
META,2024-12-19,69,0.26813913043478255,0.2681391304347827,True,False,5
AVGO,2024-12-19,56,0.2390232142857143,0.23902321428571427,True,False,5
TSM,2024-12-19,11,0.2646545454545455,0.2646545454545455,True,False,2
TSLA,2024-12-19,78,0.25867179487179487,0.2586717948717948,True,False,5
ORCL,2024-12-19,12,0.11256666666666666,0.11256666666666666,True,False,3
ADBE,2024-12-19,11,0.27204545454545453,0.27204545454545453,True,False,3
CRM,2024-12-19,30,0.49228333333333335,0.49228333333333335,True,True,5
NFLX,2024-12-19,20,0.30888499999999997,0.30888499999999997,True,False,4
AMD,2024-12-19,24,0.2968208333333333,0.29682083333333337,True,False,4
INTC,2024-12-19,20,0.21589,0.21589,True,False,4
QCOM,2024-12-19,17,0.2544705882352941,0.25447058823529406,True,False,4
TXN,2024-12-19,7,0.21305714285714286,0.21305714285714286,True,False,4
AMAT,2024-12-19,7,0.5241428571428571,0.5241428571428571,True,True,3
MU,2024-12-19,47,0.13172978723404252,0.13172978723404255,True,False,4
ADI,2024-12-19,1,0.0,0.0,False,False,0
