date,ticker,volume_yesterday,volume_ma20,articles_count,sources_count,raw_sentiment,weighted_sentiment,news_window_start,news_window_end,passed_volume,passed_news,passed_all_filters
2024-10-18,NVDA,306435921,277334985.0,95,8,0.30078105263157895,0.3007810526315789,2024-10-17 09:30:00 ET,2024-10-18 09:30:00 ET,True,True,True
2024-10-18,MSFT,14820004,18225112.7,81,9,0.22603456790123455,0.22603456790123455,2024-10-17 09:30:00 ET,2024-10-18 09:30:00 ET,False,True,False
2024-10-18,AAPL,32993810,54415302.0,38,5,0.3160842105263158,0.3160842105263157,2024-10-17 09:30:00 ET,2024-10-18 09:30:00 ET,False,True,False
2024-10-18,AMZN,25039414,35209857.05,76,9,0.3074671052631579,0.30746710526315785,2024-10-17 09:30:00 ET,2024-10-18 09:30:00 ET,False,True,False
2024-10-18,GOOGL,21453395,21637221.8,35,9,0.2032657142857143,0.2032657142857143,2024-10-17 09:30:00 ET,2024-10-18 09:30:00 ET,False,True,False
2024-10-18,META,8701158,11605968.75,76,10,0.12362631578947368,0.12362631578947368,2024-10-17 09:30:00 ET,2024-10-18 09:30:00 ET,False,True,False
2024-10-18,AVGO,25232427,24478753.85,9,3,0.5519111111111111,0.5519111111111111,2024-10-17 09:30:00 ET,2024-10-18 09:30:00 ET,True,True,True
2024-10-18,TSM,62274668,15334897.35,37,3,0.4576027027027027,0.4576027027027027,2024-10-17 09:30:00 ET,2024-10-18 09:30:00 ET,True,True,True
2024-10-18,TSLA,50791784,78715397.7,49,10,0.15423061224489792,0.15423061224489792,2024-10-17 09:30:00 ET,2024-10-18 09:30:00 ET,False,True,False
2024-10-18,ORCL,5473951,7181080.8,5,3,0.51504,0.51504,2024-10-17 09:30:00 ET,2024-10-18 09:30:00 ET,False,True,False
2024-10-18,ADBE,2769241,3056916.45,6,5,0.38998333333333335,0.38998333333333335,2024-10-17 09:30:00 ET,2024-10-18 09:30:00 ET,False,True,False
2024-10-18,CSCO,18383351,17503893.2,1,1,0,0,2024-10-17 09:30:00 ET,2024-10-18 09:30:00 ET,True,False,False
2024-10-18,INTU,1135351,1366637.15,3,2,0.4375333333333334,0.4375333333333334,2024-10-17 09:30:00 ET,2024-10-18 09:30:00 ET,False,True,False
2024-10-18,QCOM,6093179,8108005.3,10,6,0.38856999999999997,0.38856999999999997,2024-10-17 09:30:00 ET,2024-10-18 09:30:00 ET,False,True,False
