ticker,date,articles_count,raw_sentiment,weighted_sentiment,meets_min_news,qualifies,source_count
NVDA,2024-12-09,47,0.4022808510638299,0.4022808510638299,True,True,4
MSFT,2024-12-09,36,0.3709416666666667,0.3709416666666667,True,True,4
AAPL,2024-12-09,33,0.2937484848484848,0.29374848484848487,True,False,5
AMZN,2024-12-09,30,0.4741533333333334,0.47415333333333337,True,True,3
GOOGL,2024-12-09,28,0.24939285714285714,0.2493928571428571,True,False,3
META,2024-12-09,29,0.26970689655172414,0.26970689655172414,True,False,4
AVGO,2024-12-09,16,0.430175,0.430175,True,True,2
TSM,2024-12-09,6,0.1378333333333333,0.1378333333333333,True,False,2
TSLA,2024-12-09,17,0.22336470588235294,0.22336470588235297,True,False,3
ORCL,2024-12-09,10,0.29158,0.29158,True,False,3
ADBE,2024-12-09,11,0.21255454545454544,0.21255454545454544,True,False,3
CRM,2024-12-09,10,0.52223,0.5222300000000001,True,True,2
NFLX,2024-12-09,4,0.43437500000000007,0.43437500000000007,True,True,2
AMD,2024-12-09,6,0.6453833333333333,0.6453833333333333,True,True,1
INTC,2024-12-09,8,0.294525,0.29452500000000004,True,False,4
QCOM,2024-12-09,3,0.6011000000000001,0.6011000000000001,True,True,2
TXN,2024-12-09,1,0.0,0.0,False,False,0
AMAT,2024-12-09,3,0.6427,0.6427,True,True,2
MU,2024-12-09,0,0.0,0.0,False,False,0
ADI,2024-12-09,0,0.0,0.0,False,False,0
