date,ticker,volume_yesterday,volume_ma20,passed_all_filters
2025-08-21,NVDA,215142725,157271788.1,True
2025-08-21,MSFT,27723025,22371028.8,True
2025-08-21,AAPL,42263865,62624313.85,False
2025-08-21,AMZN,36604319,47368917.0,False
2025-08-21,GOOGL,28955498,33974121.95,False
2025-08-21,META,11898190,13641087.4,False
2025-08-21,AVGO,23600512,17582123.35,True
2025-08-21,TSM,17165201,10664298.0,True
2025-08-21,TSLA,77481768,87507034.9,False
2025-08-21,ORCL,11256417,10357429.55,True
2025-08-21,ADBE,3727897,3759590.4,False
2025-08-21,CSCO,14946418,22510844.0,False
2025-08-21,INTU,2096174,1726840.9,True
2025-08-21,QCOM,7151699,8573519.0,False
