date,ticker,volume_yesterday,volume_ma20,passed_all_filters
2025-08-26,NVDA,163012789,161497714.35,True
2025-08-26,MSFT,21638579,23114292.2,False
2025-08-26,AAPL,30983133,61620952.6,False
2025-08-26,AMZN,22633695,47077666.8,False
2025-08-26,GOOGL,29928878,30960296.8,False
2025-08-26,META,6861158,13563180.15,False
2025-08-26,AVGO,15124746,17772072.55,False
2025-08-26,TSM,7654954,10306100.55,False
2025-08-26,TSLA,86670037,78435236.1,True
2025-08-26,ORCL,6308625,10402989.2,False
2025-08-26,ADBE,2259516,3757183.6,False
2025-08-26,CSCO,11724472,22277306.85,False
2025-08-26,INTU,2201545,2044945.75,True
2025-08-26,QCOM,4653018,8469089.25,False
