date,ticker,volume_yesterday,volume_ma20,articles_count,sources_count,raw_sentiment,weighted_sentiment,news_window_start,news_window_end,passed_volume,passed_news,passed_all_filters
2025-07-11,NVDA,167703896,183113490.2,64,3,0.37600625,0.37600625,2025-07-10 09:30:00 ET,2025-07-11 09:30:00 ET,False,True,False
2025-07-11,MSFT,16498740,19934759.55,58,5,0.49714482758620687,0.4971448275862069,2025-07-10 09:30:00 ET,2025-07-11 09:30:00 ET,False,True,False
2025-07-11,AAPL,44443634,55684444.25,38,3,0.33564210526315785,0.33564210526315785,2025-07-10 09:30:00 ET,2025-07-11 09:30:00 ET,False,True,False
2025-07-11,AMZN,30370591,43401125.4,58,3,0.4157758620689655,0.4157758620689656,2025-07-10 09:30:00 ET,2025-07-11 09:30:00 ET,False,True,False
2025-07-11,GOOGL,29252166,40379530.25,40,3,0.226435,0.226435,2025-07-10 09:30:00 ET,2025-07-11 09:30:00 ET,False,True,False
2025-07-11,META,9922249,11743845.1,32,4,0.42311875000000004,0.42311874999999993,2025-07-10 09:30:00 ET,2025-07-11 09:30:00 ET,False,True,False
2025-07-11,AVGO,17890396,22641174.5,26,3,0.42412692307692307,0.42412692307692296,2025-07-10 09:30:00 ET,2025-07-11 09:30:00 ET,False,True,False
2025-07-11,TSM,13124458,10674268.55,18,2,0.21413888888888888,0.21413888888888885,2025-07-10 09:30:00 ET,2025-07-11 09:30:00 ET,True,True,True
2025-07-11,TSLA,104364578,107058499.95,61,4,0.08693278688524589,0.08693278688524589,2025-07-10 09:30:00 ET,2025-07-11 09:30:00 ET,False,False,False
2025-07-11,ORCL,11486345,21028508.0,21,3,0.3596095238095239,0.3596095238095238,2025-07-10 09:30:00 ET,2025-07-11 09:30:00 ET,False,True,False
2025-07-11,ADBE,4023925,5122567.05,6,2,0.34708333333333335,0.34708333333333335,2025-07-10 09:30:00 ET,2025-07-11 09:30:00 ET,False,True,False
2025-07-11,CSCO,15006033,22908158.1,8,3,0.36074999999999996,0.36074999999999996,2025-07-10 09:30:00 ET,2025-07-11 09:30:00 ET,False,True,False
2025-07-11,INTU,1783864,1587490.05,5,4,0.27358,0.27358,2025-07-10 09:30:00 ET,2025-07-11 09:30:00 ET,True,True,True
2025-07-11,QCOM,5675549,8165569.55,2,2,0.7926500000000001,0.7926500000000001,2025-07-10 09:30:00 ET,2025-07-11 09:30:00 ET,False,False,False
