date,ticker,volume_yesterday,volume_ma20,articles_count,sources_count,raw_sentiment,weighted_sentiment,news_window_start,news_window_end,passed_volume,passed_news,passed_all_filters
2025-03-11,NVDA,366487363,275428212.75,32,4,-0.025509374999999997,-0.025509375000000008,2025-03-10 09:30:00 ET,2025-03-11 09:30:00 ET,True,False,False
2025-03-11,MSFT,32840134,24233031.75,15,4,0.09024666666666667,0.09024666666666667,2025-03-10 09:30:00 ET,2025-03-11 09:30:00 ET,True,False,False
2025-03-11,AAPL,72071197,47327118.25,25,4,-0.051720000000000016,-0.05172000000000001,2025-03-10 09:30:00 ET,2025-03-11 09:30:00 ET,True,False,False
2025-03-11,AMZN,62350926,42690859.1,14,4,0.3750928571428572,0.3750928571428571,2025-03-10 09:30:00 ET,2025-03-11 09:30:00 ET,True,True,True
2025-03-11,GOOGL,43604027,31253071.2,17,4,0.2607176470588235,0.2607176470588235,2025-03-10 09:30:00 ET,2025-03-11 09:30:00 ET,True,False,False
2025-03-11,META,21999943,15940024.15,16,4,0.2483875,0.24838750000000004,2025-03-10 09:30:00 ET,2025-03-11 09:30:00 ET,True,False,False
2025-03-11,AVGO,44217115,30579046.5,10,2,0.45626,0.45626,2025-03-10 09:30:00 ET,2025-03-11 09:30:00 ET,True,True,True
2025-03-11,TSM,18265099,18022601.85,6,1,0.47825,0.47825,2025-03-10 09:30:00 ET,2025-03-11 09:30:00 ET,True,True,True
2025-03-11,TSLA,189076948,97591984.45,50,4,-0.18707399999999996,-0.187074,2025-03-10 09:30:00 ET,2025-03-11 09:30:00 ET,True,False,False
2025-03-11,ORCL,21486052,9742382.45,28,4,0.15642142857142857,0.15642142857142857,2025-03-10 09:30:00 ET,2025-03-11 09:30:00 ET,True,False,False
2025-03-11,ADBE,4001634,2947542.6,2,1,0.8711,0.8711,2025-03-10 09:30:00 ET,2025-03-11 09:30:00 ET,True,False,False
2025-03-11,CSCO,27417648,21891265.95,6,2,0.4941333333333333,0.4941333333333333,2025-03-10 09:30:00 ET,2025-03-11 09:30:00 ET,True,True,True
2025-03-11,INTU,2375933,2141730.75,3,2,0.3981333333333333,0.3981333333333333,2025-03-10 09:30:00 ET,2025-03-11 09:30:00 ET,True,True,True
2025-03-11,QCOM,10139920,8128698.3,5,2,0.1379,0.1379,2025-03-10 09:30:00 ET,2025-03-11 09:30:00 ET,True,False,False
