date,ticker,volume_yesterday,volume_ma20,articles_count,sources_count,raw_sentiment,weighted_sentiment,news_window_start,news_window_end,passed_volume,passed_news,passed_all_filters
2024-12-11,NVDA,210020888,222996435.0,39,5,0.34260000000000007,0.3426,2024-12-10 09:30:00 ET,2024-12-11 09:30:00 ET,False,True,False
2024-12-11,MSFT,18469459,21780121.35,38,4,0.2874315789473684,0.2874315789473684,2024-12-10 09:30:00 ET,2024-12-11 09:30:00 ET,False,False,False
2024-12-11,AAPL,36914806,43309592.55,31,5,0.374483870967742,0.374483870967742,2024-12-10 09:30:00 ET,2024-12-11 09:30:00 ET,False,True,False
2024-12-11,AMZN,31199864,41214215.9,35,5,0.4863114285714285,0.4863114285714286,2024-12-10 09:30:00 ET,2024-12-11 09:30:00 ET,False,True,False
2024-12-11,GOOGL,54813022,28048545.7,37,5,0.35267567567567565,0.3526756756756757,2024-12-10 09:30:00 ET,2024-12-11 09:30:00 ET,True,True,True
2024-12-11,META,10938854,11879158.9,32,5,0.3116,0.31159999999999993,2024-12-10 09:30:00 ET,2024-12-11 09:30:00 ET,False,True,False
2024-12-11,AVGO,27762632,20509052.8,11,4,0.31713636363636366,0.31713636363636366,2024-12-10 09:30:00 ET,2024-12-11 09:30:00 ET,True,True,True
2024-12-11,TSM,15307905,11747931.85,10,2,0.48911,0.48911,2024-12-10 09:30:00 ET,2024-12-11 09:30:00 ET,True,True,True
2024-12-11,TSLA,97563578,87111320.55,42,5,0.35397142857142855,0.3539714285714285,2024-12-10 09:30:00 ET,2024-12-11 09:30:00 ET,True,True,True
2024-12-11,ORCL,26502016,9573199.6,19,4,0.27515789473684205,0.27515789473684205,2024-12-10 09:30:00 ET,2024-12-11 09:30:00 ET,True,False,False
2024-12-11,ADBE,2762875,2729010.65,9,3,0.25534444444444443,0.2553444444444445,2024-12-10 09:30:00 ET,2024-12-11 09:30:00 ET,True,False,False
2024-12-11,CSCO,14480185,20140689.4,4,2,0.660725,0.660725,2024-12-10 09:30:00 ET,2024-12-11 09:30:00 ET,False,True,False
2024-12-11,INTU,1485682,1721965.7,1,1,0,0,2024-12-10 09:30:00 ET,2024-12-11 09:30:00 ET,False,False,False
2024-12-11,QCOM,8683634,8399738.45,4,2,0.4901,0.4901,2024-12-10 09:30:00 ET,2024-12-11 09:30:00 ET,True,True,True
