date,ticker,volume_yesterday,volume_ma20,volume_zscore,articles_count,sources_count,raw_sentiment,weighted_sentiment,meets_min_news,meets_sentiment_range,score_threshold,passed_all_filters
2025-08-25,NVDA,172789427,160348250.95,0.4351249085555291,27,2,0.723887037037037,0.7301549723756908,True,True,0.35,False
2025-08-25,MSFT,24324161,22747764.6,0.1977376673392599,19,2,0.7948894736842105,0.7941202290076337,True,True,0.35,False
2025-08-25,AAPL,42477811,61964696.8,-0.7640216733910246,19,2,0.667442105263158,0.6680812977099237,True,True,0.35,False
2025-08-25,AMZN,37315341,47260988.95,-0.3813698568883795,18,2,0.7695083333333333,0.7682862903225806,True,True,0.35,False
2025-08-25,GOOGL,42827040,31370828.1,1.3751785707590012,14,2,0.6991642857142857,0.6981847368421052,True,True,0.35,True
2025-08-25,META,10612667,13655909.4,-0.40181672282213216,17,2,0.6899000000000001,0.6888581896551726,True,True,0.35,False
2025-08-25,AVGO,16301330,17700004.0,-0.3921335664919311,5,2,0.71523,0.7206636363636364,True,True,0.35,False
2025-08-25,TSM,10299467,10517962.95,-0.0647019746676755,0,0,0.0,0.0,False,False,0.35,False
2025-08-25,TSLA,94016347,79735422.0,0.9576738094126162,15,2,0.6996366666666667,0.6973286407766991,True,True,0.35,True
2025-08-25,ORCL,9343637,10425396.7,-0.3892358888072837,3,1,0.7700999999999999,0.7701,True,True,0.35,False
2025-08-25,ADBE,3058636,3793419.05,-0.8263190183868985,3,1,0.8100666666666667,0.8100666666666666,True,True,0.35,False
2025-08-25,CSCO,16830586,22719002.05,-0.6868893314450294,1,1,0.352,0.352,False,True,0.35,False
2025-08-25,INTU,6368783,2031533.65,3.813381457635132,1,1,0.3577,0.3577,False,True,0.35,False
2025-08-25,QCOM,7711478,8717803.85,-0.228078902837493,0,0,0.0,0.0,False,False,0.35,False
