date,ticker,volume_yesterday,volume_ma20,articles_count,sources_count,raw_sentiment,weighted_sentiment,news_window_start,news_window_end,passed_volume,passed_news,passed_all_filters
2025-07-03,NVDA,171224111,189171776.6,37,4,0.4690972972972973,0.4690972972972973,2025-07-02 09:30:00 ET,2025-07-03 09:30:00 ET,False,True,False
2025-07-03,MSFT,16319641,20258627.05,46,3,0.16663043478260867,0.16663043478260872,2025-07-02 09:30:00 ET,2025-07-03 09:30:00 ET,False,True,False
2025-07-03,AAPL,67941811,58271510.7,56,4,0.25451785714285713,0.25451785714285713,2025-07-02 09:30:00 ET,2025-07-03 09:30:00 ET,True,True,True
2025-07-03,AMZN,30894178,43935073.55,49,3,0.4124591836734694,0.4124591836734694,2025-07-02 09:30:00 ET,2025-07-03 09:30:00 ET,False,True,False
2025-07-03,GOOGL,29128947,41439209.75,45,3,0.3382177777777778,0.3382177777777778,2025-07-02 09:30:00 ET,2025-07-03 09:30:00 ET,False,True,False
2025-07-03,META,9336740,12510542.9,34,2,0.29221470588235293,0.29221470588235293,2025-07-02 09:30:00 ET,2025-07-03 09:30:00 ET,False,True,False
2025-07-03,AVGO,17582090,26920977.95,17,2,0.4283941176470588,0.4283941176470588,2025-07-02 09:30:00 ET,2025-07-03 09:30:00 ET,False,True,False
2025-07-03,TSM,12012459,11036278.35,16,2,0.33056875,0.3305687500000001,2025-07-02 09:30:00 ET,2025-07-03 09:30:00 ET,True,True,True
2025-07-03,TSLA,119483730,125869846.55,57,3,0.007312280701754389,0.007312280701754385,2025-07-02 09:30:00 ET,2025-07-03 09:30:00 ET,False,False,False
2025-07-03,ORCL,22326900,19221507.25,16,3,0.3061625,0.3061625,2025-07-02 09:30:00 ET,2025-07-03 09:30:00 ET,True,True,True
2025-07-03,ADBE,6912202,4775638.25,9,2,0.43589999999999995,0.4359,2025-07-02 09:30:00 ET,2025-07-03 09:30:00 ET,True,True,True
2025-07-03,CSCO,16655191,21996398.6,10,3,0.27071,0.27071,2025-07-02 09:30:00 ET,2025-07-03 09:30:00 ET,False,True,False
2025-07-03,INTU,1493358,1584361.25,3,2,0.6070333333333333,0.6070333333333333,2025-07-02 09:30:00 ET,2025-07-03 09:30:00 ET,False,False,False
2025-07-03,QCOM,8916394,8665398.25,11,4,0.31995454545454544,0.31995454545454555,2025-07-02 09:30:00 ET,2025-07-03 09:30:00 ET,True,True,True
