date,ticker,volume_yesterday,volume_ma20,passed_all_filters
2025-08-25,NVDA,172789427,160348250.95,True
2025-08-25,MSFT,24324161,22747764.6,True
2025-08-25,AAPL,42477811,61964696.8,False
2025-08-25,AMZN,37315341,47260988.95,False
2025-08-25,GOOGL,42827040,31370828.1,True
2025-08-25,META,10612667,13655909.4,False
2025-08-25,AVGO,16301330,17700004.0,False
2025-08-25,TSM,10299467,10517962.95,False
2025-08-25,TSLA,94016347,79735422.0,True
2025-08-25,ORCL,9343637,10425396.7,False
2025-08-25,ADBE,3058636,3793419.05,False
2025-08-25,CSCO,16830586,22719002.05,False
2025-08-25,INTU,6368783,2031533.65,True
2025-08-25,QCOM,7711478,8717803.85,False
