ticker,date,articles_count,raw_sentiment,weighted_sentiment,meets_min_news,qualifies,source_count
NVDA,2024-12-16,45,0.46682,0.4668199999999999,True,True,2
MSFT,2024-12-16,34,0.47611176470588235,0.47611176470588223,True,True,4
AAPL,2024-12-16,26,0.31021153846153837,0.31021153846153837,True,False,5
AMZN,2024-12-16,30,0.33442000000000005,0.33442000000000005,True,False,4
GOOGL,2024-12-16,30,0.5302033333333334,0.5302033333333334,True,True,3
META,2024-12-16,33,0.30153939393939394,0.301539393939394,True,False,5
AVGO,2024-12-16,18,0.4601833333333334,0.4601833333333334,True,True,3
TSM,2024-12-16,4,0.6145,0.6145,True,True,1
TSLA,2024-12-16,22,0.13493636363636363,0.1349363636363636,True,False,3
ORCL,2024-12-16,7,0.7142857142857143,0.7142857142857143,True,True,2
ADBE,2024-12-16,8,0.32623749999999996,0.3262375,True,False,2
CRM,2024-12-16,6,-0.18439999999999998,-0.18439999999999998,True,False,3
NFLX,2024-12-16,5,0.44094,0.44094,True,True,3
AMD,2024-12-16,8,0.6412625000000001,0.6412625000000001,True,True,1
INTC,2024-12-16,5,0.47872000000000003,0.47872000000000003,True,True,2
QCOM,2024-12-16,3,0.09996666666666663,0.09996666666666663,True,False,1
TXN,2024-12-16,3,0.14376666666666668,0.14376666666666668,True,False,1
AMAT,2024-12-16,4,0.3359,0.3359,True,False,1
MU,2024-12-16,10,0.29508,0.29508,True,False,3
ADI,2024-12-16,2,0.05135,0.05135,True,False,2
