ticker,date,articles_count,raw_sentiment,weighted_sentiment,meets_min_news,qualifies,source_count
NVDA,2024-11-15,71,0.3898239436619718,0.38982394366197193,True,True,5
MSFT,2024-11-15,75,0.39272399999999996,0.39272399999999996,True,True,5
AAPL,2024-11-15,81,0.33554567901234567,0.3355456790123457,True,False,5
AMZN,2024-11-15,90,0.47197222222222224,0.47197222222222224,True,True,5
GOOGL,2024-11-15,72,0.37547638888888885,0.37547638888888896,True,True,4
META,2024-11-15,69,0.17803333333333332,0.17803333333333332,True,False,5
AVGO,2024-11-15,16,0.3124,0.3124,True,False,3
TSM,2024-11-15,20,0.269415,0.269415,True,False,2
TSLA,2024-11-15,112,0.2538598214285714,0.2538598214285714,True,False,5
ORCL,2024-11-15,14,0.4137642857142857,0.4137642857142857,True,True,3
ADBE,2024-11-15,10,0.59902,0.59902,True,True,4
CRM,2024-11-15,21,0.4342428571428572,0.4342428571428571,True,True,4
NFLX,2024-11-15,23,0.400491304347826,0.4004913043478261,True,True,4
AMD,2024-11-15,31,0.3134290322580645,0.31342903225806445,True,False,3
INTC,2024-11-15,17,0.26644705882352937,0.2664470588235294,True,False,3
QCOM,2024-11-15,17,0.42167058823529413,0.4216705882352942,True,True,3
TXN,2024-11-15,9,0.3102888888888889,0.3102888888888889,True,False,4
AMAT,2024-11-15,29,0.12096551724137931,0.12096551724137933,True,False,4
MU,2024-11-15,15,0.19678666666666664,0.19678666666666664,True,False,4
ADI,2024-11-15,1,0.0,0.0,False,False,0
