date,stock,headline,summary,source,url,published_time,sentiment_score,sentiment_category
2025-07-10,MSFT,"Indeed, Glassdoor to cut 1,300 jobs amid AI integration, memo shows","The cuts — representing about 6% of the HR technology segment workforce — are mostly in the U.S. and within the research and development, growth, and people and sustainability teams, but span all func...",Yahoo,https://finnhub.io/api/news?id=066719e694bc3bc361d7093233b03386818054e90d15fbd1cabb9f3ebcbb59b1,2025-07-10 22:59:18,0.63071,Very Positive
2025-07-10,MSFT,Growth Co Marketing Acquired by Chapter One,"MIAMI, FL / ACCESS Newswire / July 10, 2025 / Entrepreneurs Zain Yaqub, 25, and Owen Fitzgerald, 20, have successfully sold Growth Co Marketing, a B2B growth consulting firm, to Chapter One in a strat...",Yahoo,https://finnhub.io/api/news?id=68c2b3fa0f62c5b54edc2c5f23bd64b75c76d0b32695c785da45c8f1b112c47e,2025-07-10 22:30:00,0.63071,Very Positive
2025-07-10,MSFT,These Big Tech Stocks Are Cheaper than You Might Think Headed Into Earnings,"Nvidia  is one of those stocks.  Nvidia  is expected to report second-quarter earnings at the end of August, but investors could get a taste of demand for the company’s hardware as other tech companie...",Yahoo,https://finnhub.io/api/news?id=026334131a465118733e4c3012356d841a7edfbb12012ee580470c0279a5dc42,2025-07-10 22:29:00,0.63071,Very Positive
2025-07-10,MSFT,"Can SoundHound AI Stock Be the Next NVIDIA, and Is It a Buy?","SOUN surged 211.6% in a year, but with $188M in losses, can it truly rival NVDA's $4T dominance in the AI race?...",Yahoo,https://finnhub.io/api/news?id=784c53866c2a7750d227efa9403308ffdb2ff1e54dcdd26448cd007aa897432d,2025-07-10 22:00:00,0.63071,Very Positive
2025-07-10,AAPL,These 3 Companies Generate Big Cash,"Strong cash flows reflect financial stability, allowing companies to pay down debt, pursue growth opportunities, and shell out dividend payments....",Yahoo,https://finnhub.io/api/news?id=f5d7d63826aa8f5ddda7c4dee839427f66d9ba8a4e34addbbcf2912a07269b02,2025-07-11 01:34:00,0.34372,Positive
2025-07-10,AAPL,Veteran trader and analysts turn heads with new Nvidia stock price targets,A Wall Street veteran takes a second look at the AI-chip kingpin....,Yahoo,https://finnhub.io/api/news?id=79e40800fdbb284fe250164139284be4df1eaf8a52784273ff494d07d2a27916,2025-07-11 00:04:00,0.34372,Positive
2025-07-10,AAPL,"These Stocks Moved the Most Today: Nvidia, Delta, WK Kellogg, MP Materials, Vertiv, Helen of Troy, and More",Nvidia rises and pushes its market capitalization north of $4 trillion. It’s the first U.S. firm to reach and close above that level. Delta’s earnings beat analysts’ estimates....,Yahoo,https://finnhub.io/api/news?id=890977a1cbd5b6cb4055f345e6255f62461368c704fd7f7f58c613623aea2583,2025-07-10 23:53:00,0.34372,Positive
2025-07-10,AAPL,"Nvidia Hits Milestone, Helps Lift S&P, Nasdaq to All-Time Highs","Nvidia shares rose to a new record Thursday, helping lift the S&P 500 and Nasdaq composite to all-time highs of their own.  The artificial intelligence chip-maker closed Thursday’s trading with a valu...",Yahoo,https://finnhub.io/api/news?id=e29b176448a2c6c78fb283eb2785f856caddbd344bcb0aa1a57386107fb13408,2025-07-10 23:47:36,0.34372,Positive
2025-07-10,AAPL,"Apple Needs 'Product-Focused CEO,' Say Analysts As Tim Cook Faces Heat Over AI Failures And Innovation Slump","Analysts from LightShed Partners have suggested that Apple Inc. (NASDAQ:AAPL) should consider a change in leadership to prioritize product innovation, particularly in the rapidly growing field of arti...",Yahoo,https://finnhub.io/api/news?id=32525aa8dda55e02b9d00b93c0879d6180f1aae72e74ff394e47e325ce571acc,2025-07-10 23:31:03,0.34372,Positive
2025-07-10,AAPL,"Market Chatter: Apple Plans to Launch iPhone 17e, iPads in 2026","Apple (AAPL) is planning to launch a set of new products, including a new low-end iPhone, multiple i...",Yahoo,https://finnhub.io/api/news?id=8dbb87b6fc66b6f86fa981896979bb7bb7e52b67ee661ccaaa7d77a4839f0fe5,2025-07-10 23:12:31,0.34372,Positive
