strategy_name,pnl_usd,stop_loss_count,take_profit_count,sentiment_exit_count,period_end_exit_count
S01,-138461.4844,44,23,0,0
S02,-683620.7135,47,7,0,0
S03,-373050.1485,34,3,0,0
S04,-494189.2235,31,0,0,0
S05,25501.883,28,30,0,0
S06,-4561.5289,21,13,0,0
S07,-389026.2327,22,3,0,0
S08,-243690.4827,12,0,0,0
S09,411938.2949,12,29,0,0
S10,129894.2998,11,12,0,0
S11,24313.1175,7,4,0,0
S12,-250003.9621,7,0,0,0
S13,910858.6387,1,28,0,0
S14,464473.9747,2,12,0,0
S15,179349.143,0,4,0,0
S16,-98565.1249,1,0,0,0
S17,-257278.0433,33,18,0,0
S18,-534101.8683,25,9,0,0
S19,-110989.5216,7,1,0,0
S20,-94967.9366,0,0,0,0
