strategy_id,total_pnl_usd,avg_pnl_usd,trade_count,pnl_std_usd,avg_pnl_pct,pnl_std_pct,avg_holding_minutes,take_profit_count,win_rate_pct,stop_loss_count,eod_count
S01,-152768.0962,-2280.1208,67,28774.3605,-0.1524,2.5509,3747.5672,12,35.82089552238806,24,0
S02,-221552.4772,-3306.7534,67,33026.7451,-0.274,2.959,3638.8507,7,31.343283582089555,26,0
S03,-210329.9795,-3338.5711,63,34708.4637,-0.4222,3.1386,3604.3651,3,31.746031746031743,23,0
S04,-320530.9419,-5169.8539,62,35553.4814,-0.6813,3.0344,3567.7742,1,30.64516129032258,23,0
S05,320475.1828,5722.7711,56,30744.7475,0.7921,2.4874,3822.5893,14,51.78571428571429,4,0
S06,271691.0212,4851.6254,56,38429.8286,0.6845,3.3333,3743.6429,9,46.42857142857143,6,0
S07,263486.968,4971.4522,53,44403.5259,0.6532,3.9778,3834.0755,5,43.39622641509434,6,0
S08,313276.2568,6024.5434,52,55394.7033,0.6727,5.0529,3854.3269,3,42.30769230769231,6,0
S09,398752.4624,7523.6314,53,30444.2074,1.1041,2.131,3864.0377,14,52.83018867924528,1,0
S10,309972.176,5848.5316,53,39929.5465,0.915,3.3001,3783.2642,9,47.16981132075472,3,0
S11,264533.0752,5186.923,51,46696.0633,0.7453,4.0974,3904.7843,5,45.09803921568628,4,0
S12,314322.364,6286.4473,50,57670.7617,0.7675,5.1875,3927.26,3,44.0,4,0
S13,415253.3648,7834.9691,53,29711.1519,1.1075,2.1284,3786.6415,14,52.83018867924528,0,0
S14,288429.2504,5546.7164,52,38200.5292,1.0444,2.772,3775.6154,8,46.15384615384615,1,0
S15,392938.5916,7858.7718,50,45199.1068,1.1765,3.6461,3877.6,5,46.0,1,0
S16,442727.8804,9035.2629,49,56594.4119,1.2079,4.8507,3899.9796,3,44.89795918367347,1,0
S17,150379.2934,2506.3216,60,32649.08,0.301,2.8025,3564.1667,11,45.0,10,0
S18,11772.3582,214.0429,55,39799.2689,0.5118,3.3782,3770.9091,6,41.81818181818181,7,0
S19,308796.9117,6301.9778,49,45686.5638,0.9027,3.6403,3894.102,3,44.89795918367347,1,0
S20,503609.4044,10491.8626,48,56203.0876,1.2353,4.8985,3878.7917,3,45.83333333333333,0,0
