symbol,total_pnl_usd,trade_count,avg_pnl_usd,avg_pnl_pct,pnl_std_pct,avg_holding_minutes,strategy_count,win_rate_pct
AAPL,115589.8,40,2889.745,0.0206,0.0601,7064.5,20,50.0
ADBE,-321245.6292,85,-3779.3603,-0.6392,2.5315,1768.4353,20,25.882352941176475
AMZN,-1089856.6283,49,-22241.972,-1.3193,1.4216,9628.0816,20,18.367346938775512
AVGO,-4044008.1024,113,-35787.6823,-2.6763,2.7657,3320.8761,20,9.734513274336283
CSCO,-8417.7182,108,-77.9418,0.2365,2.0538,2878.6111,20,41.66666666666667
GOOGL,-1403851.939,34,-41289.7629,-2.2023,2.5921,13179.2353,20,0.0
INTU,-683419.4358,100,-6834.1944,-1.7968,3.9324,3143.21,20,52.0
META,-849316.5558,70,-12133.0937,-1.38,2.1129,3848.8143,20,57.14285714285714
MSFT,-110164.6,40,-2754.115,-0.0197,0.037,9763.5,20,50.0
NVDA,-2689994.2678,75,-35866.5902,-2.422,2.5599,6530.4667,20,2.666666666666667
ORCL,254029.224,91,2791.5299,0.1208,1.9544,3776.5385,20,64.83516483516483
QCOM,-4877660.4861,114,-42786.4955,-3.2239,2.8804,4374.8421,20,0.0
TSLA,975601.159,100,9756.0116,1.3865,6.8045,2403.82,20,49.0
TSM,-425328.6066,52,-8179.3963,-0.4353,2.6258,6805.6731,20,48.07692307692308
