symbol,total_pnl_usd,trade_count,avg_pnl_usd,avg_pnl_pct,pnl_std_pct,avg_holding_minutes,strategy_count,win_rate_pct
AAPL,50170.0311,3,16723.3437,0.1195,0.0,3839.0,3,100.0
ADBE,-3727.6053,6,-621.2675,-1.3984,1.7571,1295.5,3,50.0
AMZN,56248.528,3,18749.5093,0.1833,0.2786,4656.0,3,100.0
AVGO,291365.2668,7,41623.6095,2.285,3.8007,2067.0,3,85.71428571428571
CSCO,124034.786,9,13781.6429,0.6127,1.64,1553.2222,3,100.0
GOOGL,-5696.64,3,-1898.88,-0.0136,0.0,2399.0,3,0.0
INTU,72970.74,6,12161.79,0.0869,0.0768,1137.5,3,100.0
META,279690.4309,5,55938.0862,2.9736,3.4056,4341.8,3,100.0
MSFT,15573.6,3,5191.2,0.0371,0.0,951.0,3,100.0
NVDA,232363.7906,5,46472.7581,2.1769,2.5784,4073.4,3,80.0
ORCL,97741.4741,6,16290.2457,1.6621,2.581,2832.5,3,66.66666666666666
QCOM,93262.057,3,31087.3523,0.1291,0.0445,4590.0,3,100.0
TSLA,-90065.7624,3,-30021.9208,-3.0029,0.0,3246.0,3,0.0
TSM,195749.8394,9,21749.9822,1.186,2.1594,1506.0,3,100.0
