symbol,total_pnl_usd,trade_count,avg_pnl_usd,avg_pnl_pct,pnl_std_pct,avg_holding_minutes,strategy_count,win_rate_pct
AAPL,-1465250.2618,100,-14652.5026,-1.7406,2.5014,2863.56,20,46.0
ADBE,898699.8861,105,8559.0465,0.5974,1.8936,1778.8286,20,42.857142857142854
AMZN,2106318.9422,51,41300.3714,3.3926,4.4095,9480.3333,20,66.66666666666666
AVGO,4357221.8084,119,36615.3093,2.2502,3.9763,3803.7983,20,79.83193277310924
CSCO,2359874.4946,70,33712.4928,1.6719,2.5988,5741.8429,20,100.0
GOOGL,2610592.7207,79,33045.4775,2.0057,2.6581,4707.481,20,81.0126582278481
INTU,1674390.1536,60,27906.5026,1.6383,2.7567,1724.8667,20,100.0
META,1886972.2105,59,31982.5798,1.2813,2.9493,4831.8475,20,57.6271186440678
MSFT,507605.872,40,12690.1468,0.0906,0.044,7844.5,20,100.0
NVDA,3263089.0835,66,49440.7437,3.6414,4.3161,6718.803,20,86.36363636363636
ORCL,715576.6873,78,9174.0601,0.5795,2.3795,5218.8077,20,62.82051282051282
QCOM,95288.7104,120,794.0726,0.1834,2.8856,3535.15,20,64.16666666666667
TSLA,4262234.7292,80,53277.9341,4.4646,5.8046,2960.8125,20,75.0
TSM,1597563.4254,50,31951.2685,2.5034,3.7062,5659.24,20,60.0
