symbol,total_pnl_usd,trade_count,avg_pnl_usd,avg_pnl_pct,pnl_std_pct,avg_holding_minutes,strategy_count,win_rate_pct
AAPL,-119119.5228,12,-9926.6269,-0.9927,2.5551,10822.5,3,25.0
ADBE,-340288.54,14,-24306.3243,-2.431,2.1381,5359.0,3,7.142857142857142
AMZN,281828.491,10,28182.8491,2.8188,4.0432,7725.5,3,70.0
AVGO,440753.5288,17,25926.6782,2.5931,5.3011,3979.3529,3,58.82352941176471
CSCO,461599.0707,21,21980.9081,2.1982,2.0316,7564.0476,3,90.47619047619048
GOOGL,240443.172,10,24044.3172,2.4047,3.8766,7086.4,3,70.0
INTU,21589.27,7,3084.1814,0.3084,1.3405,8549.1429,3,42.857142857142854
META,671952.548,14,47996.6106,4.8016,3.8588,6629.8571,3,85.71428571428571
MSFT,73031.1744,3,24343.7248,2.4348,0.1626,18698.0,3,100.0
NVDA,216692.3972,9,24076.933,2.4079,3.4882,6633.0,3,77.77777777777779
ORCL,1004256.0514,14,71732.5751,7.1738,3.0715,10161.3571,3,100.0
QCOM,336047.5479,16,21002.9717,2.1005,5.5199,5800.0625,3,50.0
TSLA,-150111.9692,5,-30022.3938,-3.0027,0.0,2038.4,3,0.0
TSM,439529.3652,17,25854.6685,2.5855,4.7915,6677.8235,3,64.70588235294117
