symbol,total_pnl_usd,trade_count,avg_pnl_usd,avg_pnl_pct,pnl_std_pct,avg_holding_minutes,strategy_count,win_rate_pct
AAPL,-15905.2,20,-795.26,-0.0057,0.0,1767.0,20,0.0
ADBE,-3030816.925,80,-37885.2116,-3.638,3.5058,3305.2875,20,12.5
AMZN,-571414.224,44,-12986.6869,-1.1071,1.7696,2921.8409,20,9.090909090909092
AVGO,-1900675.8892,80,-23758.4486,-1.2622,1.8453,1801.45,20,25.0
CSCO,-1732893.7264,59,-29371.0801,-1.568,2.2567,2714.4068,20,0.0
GOOGL,-1396548.5532,85,-16429.983,-1.3428,1.9327,2972.3765,20,35.294117647058826
INTU,87907.342,60,1465.1224,-0.1754,0.7621,1338.2667,20,60.0
META,495013.2294,64,7734.5817,0.3818,2.3379,3101.625,20,62.5
MSFT,3882.364,80,48.5296,-0.4178,1.3258,4068.5625,20,50.0
NVDA,2502606.2522,74,33819.0034,2.1834,3.7083,2141.8108,20,72.97297297297297
ORCL,-1084344.4278,120,-9036.2036,-1.6611,3.2514,2765.0667,20,37.5
QCOM,-2125487.4845,120,-17712.3957,-1.7379,2.8588,2341.275,20,20.833333333333336
TSLA,1628978.2323,20,81448.9116,8.1458,8.362,4895.55,20,75.0
TSM,448997.0362,69,6507.2034,-0.0892,2.0594,4255.1014,20,71.01449275362319
