strategy_id,total_pnl_usd,avg_pnl_usd,trade_count,pnl_std_usd,avg_pnl_pct,pnl_std_pct,avg_holding_minutes,take_profit_count,win_rate_pct,stop_loss_count,eod_count
S01,-603732.8959,-8624.7557,70,30884.9263,-0.6762,3.0135,3693.4,13,31.428571428571427,41,0
S02,-1100782.1515,-16187.9728,68,24413.5826,-1.588,1.9282,3613.2647,2,22.058823529411764,44,0
S03,-1074424.1427,-15800.355,68,26422.7992,-1.5506,2.2312,3647.3529,1,22.058823529411764,44,0
S04,-994433.6051,-14624.0236,68,33412.6695,-1.433,3.0257,3653.8529,1,22.058823529411764,44,0
S05,-650616.5195,-11217.5262,58,40829.1903,-0.7238,3.9076,4720.8966,14,39.6551724137931,26,0
S06,-1097508.4738,-20324.231,54,33570.0681,-1.7886,2.8219,4681.8889,2,29.629629629629626,25,0
S07,-1071150.465,-19836.1197,54,35498.3889,-1.7428,3.0927,4724.8148,1,29.629629629629626,25,0
S08,-991159.9274,-18354.8135,54,42433.2247,-1.5947,3.8598,4733.0,1,29.629629629629626,25,0
S09,-636559.0527,-12241.5202,52,46379.6766,-0.6421,4.3535,5256.7885,13,44.230769230769226,16,0
S10,-980484.9221,-20426.7692,48,39864.8292,-1.547,3.3236,5279.625,2,35.41666666666667,14,0
S11,-954126.9133,-19877.644,48,41707.0021,-1.4956,3.5815,5327.9167,1,35.41666666666667,14,0
S12,-873837.6057,-18592.2895,47,49003.2125,-1.3571,4.3729,5432.2128,1,34.04255319148936,14,0
S13,-91108.562,-1898.095,48,42840.7647,0.4681,3.8994,4990.375,13,47.91666666666667,4,0
S14,-525353.5126,-11674.5225,45,38393.6344,-0.7122,3.1851,4961.6,2,37.77777777777778,4,0
S15,-498995.5038,-11088.789,45,40299.8548,-0.6574,3.4573,5013.1111,1,37.77777777777778,4,0
S16,-419004.9662,-9311.2215,45,47357.3973,-0.4796,4.2399,5022.9333,1,37.77777777777778,4,0
S17,-723193.9399,-12257.5244,59,36121.0107,-0.9412,3.486,4447.2203,9,32.20338983050847,31,0
S18,-910025.8878,-18571.9569,49,37524.2275,-1.6368,3.2153,4748.2449,2,32.6530612244898,16,0
S19,-556598.3716,-12099.9646,46,41943.4851,-0.7543,3.6038,5042.3696,1,36.95652173913043,7,0
S20,-404946.3676,-8998.8082,45,48336.5701,-0.3947,4.3335,4940.3333,1,37.77777777777778,3,0
