strategy_id,total_pnl_usd,avg_pnl_usd,trade_count,pnl_std_usd,avg_pnl_pct,pnl_std_pct,avg_holding_minutes,take_profit_count,win_rate_pct,stop_loss_count,eod_count
S01,-349295.8522,-6590.4878,53,28787.603,-0.8564,2.7026,2380.1698,7,32.075471698113205,27,0
S02,-470066.3058,-8869.1756,53,25639.6189,-1.3452,2.0204,2179.2642,1,32.075471698113205,27,0
S03,-430067.4346,-8114.4799,53,28708.0421,-1.2697,2.4125,2259.5472,1,32.075471698113205,27,0
S04,-505534.8282,-9721.8236,52,24603.0122,-1.5186,1.5629,2188.4038,0,30.76923076923077,27,0
S05,-438599.5651,-8951.0115,49,36718.4314,-0.8461,3.4389,3083.1224,8,36.734693877551024,17,0
S06,-529373.5224,-10803.5413,49,35289.4777,-1.3135,3.0505,2866.8367,2,36.734693877551024,17,0
S07,-449379.3228,-9171.0066,49,40145.9833,-1.1503,3.6121,2960.0816,2,36.734693877551024,17,0
S08,-444856.0596,-9267.8346,48,44336.0368,-1.2508,3.9366,2935.0208,1,35.41666666666667,17,0
S09,-262749.2133,-5473.9419,48,37276.6457,-0.215,3.3946,3137.8333,8,39.58333333333333,7,0
S10,-353523.1706,-7365.0661,48,36025.2617,-0.6922,3.0918,2917.0417,2,39.58333333333333,7,0
S11,-273528.971,-5698.5202,48,40745.6068,-0.5255,3.6288,3012.2292,2,39.58333333333333,7,0
S12,-269005.7078,-5723.5257,47,44982.0756,-0.6148,3.9748,2987.7447,1,38.297872340425535,7,0
S13,-158304.061,-3368.1715,47,40315.0231,-0.0253,3.6135,3122.2979,8,44.680851063829785,4,0
S14,-249078.0183,-5299.5323,47,39240.4075,-0.5126,3.3517,2896.8085,2,44.680851063829785,4,0
S15,-169083.8187,-3597.5281,47,43621.4042,-0.3424,3.8547,2994.0213,2,44.680851063829785,4,0
S16,-164560.5555,-3577.4034,46,47743.9397,-0.4297,4.1975,2968.6087,1,43.47826086956522,4,0
S17,-350940.4159,-6881.1846,51,34673.8628,-0.7606,3.2998,2879.3922,7,33.33333333333333,21,0
S18,-415129.6844,-8648.5351,48,36921.6321,-0.9919,3.3003,2969.9167,2,35.41666666666667,11,0
S19,-331078.3542,-7197.3555,46,42406.9825,-0.7183,3.611,2948.1304,1,39.130434782608695,6,0
S20,-76547.1129,-1664.0677,46,45032.6748,0.1495,3.4793,3017.0,1,43.47826086956522,1,0
